title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,media_thumbnail,href
Ten Hag Q&A: Man Utd boss has 'left behind' job review,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Ten Hag Q&A: Man Utd boss has 'left behind' job review""}",Manchester United manager Erik ten Hag answers questions from BBC Sport's Simon Stone on the 'football review' and his hopes for the new season.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Manchester United manager Erik ten Hag answers questions from BBC Sport's Simon Stone on the 'football review' and his hopes for the new season.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/cgerenr1ddno'}]",https://www.bbc.com/sport/football/articles/cgerenr1ddno,https://www.bbc.com/sport/football/articles/cgerenr1ddno#0,False,"Fri, 02 Aug 2024 08:01:05 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=8, tm_min=1, tm_sec=5, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/638d/live/ce88a9e0-50aa-11ef-aebc-6de4d31bf5cd.jpg'}]",
Rangers manager Clement agrees new deal,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Rangers manager Clement agrees new deal'}",Rangers manager Philippe Clement signs a contract extension until the summer of 2028.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Rangers manager Philippe Clement signs a contract extension until the summer of 2028.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c03l3n8p9ejo'}]",https://www.bbc.com/sport/football/articles/c03l3n8p9ejo,https://www.bbc.com/sport/football/articles/c03l3n8p9ejo#0,False,"Fri, 02 Aug 2024 09:28:23 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=9, tm_min=28, tm_sec=23, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/34d4/live/5adde620-50b1-11ef-9462-ef4aa241f684.jpg'}]",
'Celtic hold all the aces at home amid clamour for more ambition',"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""'Celtic hold all the aces at home amid clamour for more ambition'""}","Celtic begin the quest for yet another title in a position of strength but manager Brendan Rodgers ""does not want to live in a comfort zone"", writes Tom English.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Celtic begin the quest for yet another title in a position of strength but manager Brendan Rodgers ""does not want to live in a comfort zone"", writes Tom English.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c87rz2p3k8mo'}]",https://www.bbc.com/sport/football/articles/c87rz2p3k8mo,https://www.bbc.com/sport/football/articles/c87rz2p3k8mo#0,False,"Fri, 02 Aug 2024 07:25:59 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=7, tm_min=25, tm_sec=59, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/7738/live/5c1e0320-4ff4-11ef-84d2-6dfa3a7469fb.jpg'}]",
Ex-Leicester boss Shakespeare dies aged 60,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Ex-Leicester boss Shakespeare dies aged 60'}","Former Leicester City manager Craig Shakespeare has died at the age of 60, his family have announced.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Former Leicester City manager Craig Shakespeare has died at the age of 60, his family have announced.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c727p2mmzxpo'}]",https://www.bbc.com/sport/football/articles/c727p2mmzxpo,https://www.bbc.com/sport/football/articles/c727p2mmzxpo#0,False,"Thu, 01 Aug 2024 18:34:21 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=34, tm_sec=21, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '134', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/de9a/live/c55d8030-5036-11ef-8661-8142c258b304.jpg'}]",
51 moves and going strong at 45 - meet football's ultimate journeyman,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""51 moves and going strong at 45 - meet football's ultimate journeyman""}","As he gets ready to embark on yet another season, BBC Sport meets Jefferson Louis - football's ultimate journeyman - who has changed clubs a remarkable 51 times.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""As he gets ready to embark on yet another season, BBC Sport meets Jefferson Louis - football's ultimate journeyman - who has changed clubs a remarkable 51 times.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c51ynqw5re2o'}]",https://www.bbc.com/sport/football/articles/c51ynqw5re2o,https://www.bbc.com/sport/football/articles/c51ynqw5re2o#0,False,"Fri, 02 Aug 2024 05:52:04 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=5, tm_min=52, tm_sec=4, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '134', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/c9ff/live/f7f80040-4ff2-11ef-8f0f-0577398c3339.png'}]",
Fulham make £20m bid for Man Utd's McTominay,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Fulham make £20m bid for Man Utd's McTominay""}","Manchester United reject a second bid from Fulham, understood to be £20m for midfielder Scott McTominay.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Manchester United reject a second bid from Fulham, understood to be £20m for midfielder Scott McTominay.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/articles/c724p4dxqj9o'}]",https://www.bbc.com/sport/articles/c724p4dxqj9o,https://www.bbc.com/sport/articles/c724p4dxqj9o#0,False,"Fri, 02 Aug 2024 04:52:35 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=4, tm_min=52, tm_sec=35, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/e7ad/live/f9cb4b50-508f-11ef-8756-310bacb4bc28.jpg'}]",
Argentina and France set for grudge Olympics match,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Argentina and France set for grudge Olympics match'}",France meet Argentina for a potential grudge match as the men's Olympics football quarter-finals take place on Friday.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""France meet Argentina for a potential grudge match as the men's Olympics football quarter-finals take place on Friday.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/olympics/articles/crg7yvxk4mxo'}]",https://www.bbc.com/sport/olympics/articles/crg7yvxk4mxo,https://www.bbc.com/sport/olympics/articles/crg7yvxk4mxo#0,False,"Fri, 02 Aug 2024 05:14:10 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=5, tm_min=14, tm_sec=10, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/b1bc/live/42662f00-4f47-11ef-aa3d-8d9698a4dd32.jpg'}]",
Three things we learned from Arsenal's America tour,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Three things we learned from Arsenal's America tour""}","Arsenal have Manchester City in their sights in the new Premier League season, says chief football news reporter Simon Stone.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Arsenal have Manchester City in their sights in the new Premier League season, says chief football news reporter Simon Stone.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c3gr5y3dezyo'}]",https://www.bbc.com/sport/football/articles/c3gr5y3dezyo,https://www.bbc.com/sport/football/articles/c3gr5y3dezyo#0,False,"Thu, 01 Aug 2024 21:55:37 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=21, tm_min=55, tm_sec=37, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '134', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/420a/live/1169df10-500e-11ef-a64a-6775cc5bfd22.jpg'}]",
Palace sign ex-Watford winger Sarr from Marseille,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Palace sign ex-Watford winger Sarr from Marseille'}",Crystal Palace sign winger Ismaila Sarr from Marseille for a fee in the region of £12.5m.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Crystal Palace sign winger Ismaila Sarr from Marseille for a fee in the region of £12.5m.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c1rwvv1d07po'}]",https://www.bbc.com/sport/football/articles/c1rwvv1d07po,https://www.bbc.com/sport/football/articles/c1rwvv1d07po#0,False,"Thu, 01 Aug 2024 17:19:03 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=19, tm_sec=3, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/1c91/live/063dc4c0-5028-11ef-a29e-db4deeb6efa1.jpg'}]",
I am here for the project and to win trophies - Ten Hag,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'I am here for the project and to win trophies - Ten Hag'}","Manchester United manager Erik ten Hag speaks to BBC Sport's Simon Stone in Los Angeles, on the club’s pre-season trip to the United States.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Manchester United manager Erik ten Hag speaks to BBC Sport's Simon Stone in Los Angeles, on the club’s pre-season trip to the United States.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/videos/c3gdg8r2nn1o'}]",https://www.bbc.com/sport/football/videos/c3gdg8r2nn1o,https://www.bbc.com/sport/football/videos/c3gdg8r2nn1o#0,False,"Fri, 02 Aug 2024 08:38:41 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=8, tm_min=38, tm_sec=41, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/10fe/live/967f07d0-50a8-11ef-aebc-6de4d31bf5cd.jpg'}]",
West Ham close in on Fullkrug signing - Friday's gossip,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""West Ham close in on Fullkrug signing - Friday's gossip""}","West Ham on the verge of Niclas Fullkrug signing, a Premier League side reach a deal to sign Romelu Lukaku, Arsenal close in on Mikel Merino, plus more.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'West Ham on the verge of Niclas Fullkrug signing, a Premier League side reach a deal to sign Romelu Lukaku, Arsenal close in on Mikel Merino, plus more.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c19kdd7evx0o'}]",https://www.bbc.com/sport/football/articles/c19kdd7evx0o,https://www.bbc.com/sport/football/articles/c19kdd7evx0o#1,False,"Thu, 01 Aug 2024 21:56:48 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=21, tm_min=56, tm_sec=48, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/8807/live/809a4d60-504b-11ef-aebc-6de4d31bf5cd.png'}]",
Fifa offers calendar talks to angry organisations,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Fifa offers calendar talks to angry organisations'}",Fifa says it is happy to discuss the football calendar with bodies threatening legal action.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Fifa says it is happy to discuss the football calendar with bodies threatening legal action.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c720pp5rxewo'}]",https://www.bbc.com/sport/football/articles/c720pp5rxewo,https://www.bbc.com/sport/football/articles/c720pp5rxewo#1,False,"Thu, 01 Aug 2024 16:52:03 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=16, tm_min=52, tm_sec=3, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/22b8/live/e46e8df0-5024-11ef-894a-b30f1ca6afb0.jpg'}]",
Ex-Hull and Derby defender Davies retires,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Ex-Hull and Derby defender Davies retires'}",Former Hull City and Derby County defender Curtis Davies announces his retirement at the age of 39.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Former Hull City and Derby County defender Curtis Davies announces his retirement at the age of 39.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/cd1j1yvwlk2o'}]",https://www.bbc.com/sport/football/articles/cd1j1yvwlk2o,https://www.bbc.com/sport/football/articles/cd1j1yvwlk2o#1,False,"Fri, 02 Aug 2024 09:24:38 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=9, tm_min=24, tm_sec=38, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '134', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/c78c/live/cb4505b0-50ac-11ef-b2d2-cdb23d5d7c5b.jpg'}]",
Man City sign Japan's Fujino on three-year deal,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""Man City sign Japan's Fujino on three-year deal""}",Manchester City sign Japan international Aoba Fujino on a three-year contract.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Manchester City sign Japan international Aoba Fujino on a three-year contract.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c72025xklexo'}]",https://www.bbc.com/sport/football/articles/c72025xklexo,https://www.bbc.com/sport/football/articles/c72025xklexo#1,False,"Fri, 02 Aug 2024 09:00:37 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=9, tm_min=0, tm_sec=37, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/64aa/live/22fd05f0-50a8-11ef-aebc-6de4d31bf5cd.jpg'}]",
Yoro out for three months and Hojlund six weeks,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Yoro out for three months and Hojlund six weeks'}",New signing Leny Yoro and striker Rasmus Hojlund suffered injuries in Manchester United's friendly against Arsenal at the weekend.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': ""New signing Leny Yoro and striker Rasmus Hojlund suffered injuries in Manchester United's friendly against Arsenal at the weekend.""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/cg647g1q7w0o'}]",https://www.bbc.com/sport/football/articles/cg647g1q7w0o,https://www.bbc.com/sport/football/articles/cg647g1q7w0o#1,False,"Thu, 01 Aug 2024 05:31:48 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=5, tm_min=31, tm_sec=48, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/e2f4/live/bd277a00-4fc4-11ef-98d9-4b9f4f2e6094.jpg'}]",
Watch: St Mirren progress with emphatic win,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Watch: St Mirren progress with emphatic win'}",St Mirren beat Valur 4-1 on the night and on aggregate to reach the Conference League third qualifying round.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'St Mirren beat Valur 4-1 on the night and on aggregate to reach the Conference League third qualifying round.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/videos/cxw2wl91p4vo'}]",https://www.bbc.com/sport/football/videos/cxw2wl91p4vo,https://www.bbc.com/sport/football/videos/cxw2wl91p4vo#1,False,"Thu, 01 Aug 2024 22:18:20 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=18, tm_sec=20, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/5a06/live/dfd105a0-5053-11ef-8f0f-0577398c3339.jpg'}]",
Zaha & Stormzy - the non-league club with superstar owners,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Zaha & Stormzy - the non-league club with superstar owners'}","As they prepare to play in the FA Cup extra preliminary round, AFC Croydon Athletic are dreaming big thanks to their high-profile co-owners.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'As they prepare to play in the FA Cup extra preliminary round, AFC Croydon Athletic are dreaming big thanks to their high-profile co-owners.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c1dmj4kzxdro'}]",https://www.bbc.com/sport/football/articles/c1dmj4kzxdro,https://www.bbc.com/sport/football/articles/c1dmj4kzxdro#2,False,"Thu, 01 Aug 2024 06:30:44 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=6, tm_min=30, tm_sec=44, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '134', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/c21d/live/c1c950f0-4e49-11ef-aebc-6de4d31bf5cd.png'}]",
Bernardo completes permanent move to Celtic,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Bernardo completes permanent move to Celtic'}","Benfica midfielder Paulo Bernardo returns to Celtic in a permanent move, agreeing a five-year deal.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Benfica midfielder Paulo Bernardo returns to Celtic in a permanent move, agreeing a five-year deal.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/ckrg5z4k491o'}]",https://www.bbc.com/sport/football/articles/ckrg5z4k491o,https://www.bbc.com/sport/football/articles/ckrg5z4k491o#2,False,"Thu, 01 Aug 2024 18:02:38 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=2, tm_sec=38, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/2481/live/e8b1c5d0-5038-11ef-8661-8142c258b304.jpg'}]",
Nottingham Forest sign Portugal forward Silva,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Nottingham Forest sign Portugal forward Silva'}",Portugal and Vitoria forward Jota Silva has signed a four-year deal with Nottingham Forest.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Portugal and Vitoria forward Jota Silva has signed a four-year deal with Nottingham Forest.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c4ng10n82xdo'}]",https://www.bbc.com/sport/football/articles/c4ng10n82xdo,https://www.bbc.com/sport/football/articles/c4ng10n82xdo#2,False,"Thu, 01 Aug 2024 10:15:45 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=10, tm_min=15, tm_sec=45, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/f2c1/live/8c79bf80-4fec-11ef-a2b2-651941bfb3ca.jpg'}]",
Who to watch out for as Scottish Premiership kicks off,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Who to watch out for as Scottish Premiership kicks off'}",There are plenty of new faces who will be attracting attention as the Scottish Premiership season begins this weekend.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'There are plenty of new faces who will be attracting attention as the Scottish Premiership season begins this weekend.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/c1346l5vldko'}]",https://www.bbc.com/sport/football/articles/c1346l5vldko,https://www.bbc.com/sport/football/articles/c1346l5vldko#2,False,"Thu, 01 Aug 2024 13:45:58 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=13, tm_min=45, tm_sec=58, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/0280/live/a894e600-4fff-11ef-aebc-6de4d31bf5cd.png'}]",
Football Daily,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Football Daily'}",Explore how Pep Guardiola went from rookie manager to Barcelona’s treble-winning coach.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Explore how Pep Guardiola went from rookie manager to Barcelona’s treble-winning coach.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.co.uk/sounds/play/p0jdh258'}]",https://www.bbc.co.uk/sounds/play/p0jdh258,https://www.bbc.co.uk/sounds/play/p0jdh258#2,False,"Fri, 02 Aug 2024 00:05:00 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=2, tm_hour=0, tm_min=5, tm_sec=0, tm_wday=4, tm_yday=215, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/images/ic/240x135/p0jdh26c.jpg'}]",
Saudi 2034 plans include stadium 350m above ground,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Saudi 2034 plans include stadium 350m above ground'}",Saudi Arabia has submitted plans to build 11 stadiums - including one 350 metres above ground level - as part of its bid to host the 2034 World Cup.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Saudi Arabia has submitted plans to build 11 stadiums - including one 350 metres above ground level - as part of its bid to host the 2034 World Cup.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/articles/cqqlnel9z32o'}]",https://www.bbc.com/sport/football/articles/cqqlnel9z32o,https://www.bbc.com/sport/football/articles/cqqlnel9z32o#2,False,"Thu, 01 Aug 2024 11:37:24 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=11, tm_min=37, tm_sec=24, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '134', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/1be6/live/972f6a20-4ffa-11ef-9233-431e413bf6b2.jpg'}]",
Watch: Kilmarnock lose out to Cercle Bruges,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Watch: Kilmarnock lose out to Cercle Bruges'}",Kilmarnock miss out on the Europa League third qualifying round after losing 1-0 to Cercle Bruges for a 2-1 aggregate defeat (UK only).,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.bbci.co.uk/sport/football/rss.xml', 'value': 'Kilmarnock miss out on the Europa League third qualifying round after losing 1-0 to Cercle Bruges for a 2-1 aggregate defeat (UK only).'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bbc.com/sport/football/videos/cw0y05k2z96o'}]",https://www.bbc.com/sport/football/videos/cw0y05k2z96o,https://www.bbc.com/sport/football/videos/cw0y05k2z96o#2,False,"Thu, 01 Aug 2024 22:02:09 GMT","time.struct_time(tm_year=2024, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=2, tm_sec=9, tm_wday=3, tm_yday=214, tm_isdst=0)","[{'width': '240', 'height': '135', 'url': 'https://ichef.bbci.co.uk/news/240/cpsprodpb/fb3d/live/d3dddb80-5051-11ef-8f0f-0577398c3339.jpg'}]",
